DAY_KEY,DAY_DATE,MONTH_KEY,CURRENT_MONTH,MONTH_NUMBER,QUARTER_KEY,CURRENT_QUARTER,CURRENT_YEAR,CPO_YEAR,DAY_OF_WEEK,DAY_OF_MONTH,DAYS_IN_MONTH,DAY_OF_YEAR,WEEK_OF_MONTH,WEEK_OF_QUARTER,WEEK_OF_YEAR,MONTH_EN,WEEKDAY_EN,MONTH_DE,WEEKDAY_DE,MONTH_FR,WEEKDAY_FR,MONTH_JA,WEEKDAY_JA,MONTH_CS,WEEKDAY_CS,MONTH_DA,WEEKDAY_DA,MONTH_EL,WEEKDAY_EL,MONTH_ES,WEEKDAY_ES,MONTH_FI,WEEKDAY_FI,MONTH_HU,WEEKDAY_HU,MONTH_ID,WEEKDAY_ID,MONTH_IT,WEEKDAY_IT,MONTH_KO,WEEKDAY_KO,MONTH_MS,WEEKDAY_MS,MONTH_NL,WEEKDAY_NL,MONTH_NO,WEEKDAY_NO,MONTH_PL,WEEKDAY_PL,MONTH_PT,WEEKDAY_PT,MONTH_RU,WEEKDAY_RU,MONTH_SC,WEEKDAY_SC,MONTH_SV,WEEKDAY_SV,MONTH_TC,WEEKDAY_TC,MONTH_TH,WEEKDAY_TH
20121106,2012-11-06 00:00:00.0,201211,11,35,20124,4,2012,2015,3,6,30,311,2,6,45,November,Tuesday,November,Dienstag,Novembre,Mardi,11 月,火曜日,Listopad,Úterý,November,Tirsdag,Νοέμβριος,Τρίτη,Noviembre,Martes,Marraskuu,tiistai,November,Kedd,November,Selasa,Novembre,Martedì,11월,화요일,November,Selasa,november,dinsdag,November,Tirsdag,Listopad,wtorek,Novembro,Terça-feira,Ноябрь,Вторник,十一月,星期二,November,Tisdag,十一月,星期二,พฤศจิกายน,อังคาร
20121107,2012-11-07 00:00:00.0,201211,11,35,20124,4,2012,2015,4,7,30,312,2,6,45,November,Wednesday,November,Mittwoch,Novembre,Mercredi,11 月,水曜日,Listopad,Středa,November,Onsdag,Νοέμβριος,Τετάρτη,Noviembre,Miércoles,Marraskuu,keskiviikko,November,Szerda,November,Rabu,Novembre,Mercoledì,11월,수요일,November,Rabu,november,woensdag,November,Onsdag,Listopad,środa,Novembro,Quarta-feira,Ноябрь,Среда,十一月,星期三,November,Onsdag,十一月,星期三,พฤศจิกายน,พุธ
20121108,2012-11-08 00:00:00.0,201211,11,35,20124,4,2012,2015,5,8,30,313,2,6,45,November,Thursday,November,Donnerstag,Novembre,Jeudi,11 月,木曜日,Listopad,Čtvrtek,November,Torsdag,Νοέμβριος,Πέμπτη,Noviembre,Jueves,Marraskuu,torstai,November,Csütörtök,November,Kamis,Novembre,Giovedì,11월,목요일,November,Khamis,november,donderdag,November,Torsdag,Listopad,czwartek,Novembro,Quinta-feira,Ноябрь,Четверг,十一月,星期四,November,Torsdag,十一月,星期四,พฤศจิกายน,พฤหัสบดี
20121109,2012-11-09 00:00:00.0,201211,11,35,20124,4,2012,2015,6,9,30,314,2,6,45,November,Friday,November,Freitag,Novembre,Vendredi,11 月,金曜日,Listopad,Pátek,November,Fredag,Νοέμβριος,Παρασκευή,Noviembre,Viernes,Marraskuu,perjantai,November,Péntek,November,Jumat,Novembre,Venerdì,11월,금요일,November,Jumaat,november,vrijdag,November,Fredag,Listopad,piątek,Novembro,Sexta-feira,Ноябрь,Пятница,十一月,星期五,November,Fredag,十一月,星期五,พฤศจิกายน,ศุกร์
20121110,2012-11-10 00:00:00.0,201211,11,35,20124,4,2012,2015,7,10,30,315,2,6,45,November,Saturday,November,Samstag,Novembre,Samedi,11 月,土曜日,Listopad,Sobota,November,Lørdag,Νοέμβριος,Σάββατο,Noviembre,Sábado,Marraskuu,lauantai,November,Szombat,November,Sabtu,Novembre,Sabato,11월,토요일,November,Sabtu,november,zaterdag,November,Lørdag,Listopad,sobota,Novembro,Sábado,Ноябрь,Суббота,十一月,星期六,November,Lördag,十一月,星期六,พฤศจิกายน,เสาร์
20121111,2012-11-11 00:00:00.0,201211,11,35,20124,4,2012,2015,1,11,30,316,3,7,46,November,Sunday,November,Sonntag,Novembre,Dimanche,11 月,日曜日,Listopad,Neděle,November,Søndag,Νοέμβριος,Κυριακή,Noviembre,Domingo,Marraskuu,sunnuntai,November,Vasárnap,November,Minggu,Novembre,Domenica,11월,일요일,November,Ahad,november,zondag,November,Søndag,Listopad,niedziela,Novembro,Domingo,Ноябрь,Воскресенье,十一月,星期日,November,Söndag,十一月,星期日,พฤศจิกายน,อาทิตย์
20121112,2012-11-12 00:00:00.0,201211,11,35,20124,4,2012,2015,2,12,30,317,3,7,46,November,Monday,November,Montag,Novembre,Lundi,11 月,月曜日,Listopad,Pondělí,November,Mandag,Νοέμβριος,Δευτέρα,Noviembre,Lunes,Marraskuu,maanantai,November,Hétfő,November,Senin,Novembre,Lunedì,11월,월요일,November,Isnin,november,maandag,November,Mandag,Listopad,poniedziałek,Novembro,Segunda-feira,Ноябрь,Понедельник,十一月,星期一,November,Måndag,十一月,星期一,พฤศจิกายน,จันทร์
20121113,2012-11-13 00:00:00.0,201211,11,35,20124,4,2012,2015,3,13,30,318,3,7,46,November,Tuesday,November,Dienstag,Novembre,Mardi,11 月,火曜日,Listopad,Úterý,November,Tirsdag,Νοέμβριος,Τρίτη,Noviembre,Martes,Marraskuu,tiistai,November,Kedd,November,Selasa,Novembre,Martedì,11월,화요일,November,Selasa,november,dinsdag,November,Tirsdag,Listopad,wtorek,Novembro,Terça-feira,Ноябрь,Вторник,十一月,星期二,November,Tisdag,十一月,星期二,พฤศจิกายน,อังคาร
20121114,2012-11-14 00:00:00.0,201211,11,35,20124,4,2012,2015,4,14,30,319,3,7,46,November,Wednesday,November,Mittwoch,Novembre,Mercredi,11 月,水曜日,Listopad,Středa,November,Onsdag,Νοέμβριος,Τετάρτη,Noviembre,Miércoles,Marraskuu,keskiviikko,November,Szerda,November,Rabu,Novembre,Mercoledì,11월,수요일,November,Rabu,november,woensdag,November,Onsdag,Listopad,środa,Novembro,Quarta-feira,Ноябрь,Среда,十一月,星期三,November,Onsdag,十一月,星期三,พฤศจิกายน,พุธ
20121115,2012-11-15 00:00:00.0,201211,11,35,20124,4,2012,2015,5,15,30,320,3,7,46,November,Thursday,November,Donnerstag,Novembre,Jeudi,11 月,木曜日,Listopad,Čtvrtek,November,Torsdag,Νοέμβριος,Πέμπτη,Noviembre,Jueves,Marraskuu,torstai,November,Csütörtök,November,Kamis,Novembre,Giovedì,11월,목요일,November,Khamis,november,donderdag,November,Torsdag,Listopad,czwartek,Novembro,Quinta-feira,Ноябрь,Четверг,十一月,星期四,November,Torsdag,十一月,星期四,พฤศจิกายน,พฤหัสบดี
20121116,2012-11-16 00:00:00.0,201211,11,35,20124,4,2012,2015,6,16,30,321,3,7,46,November,Friday,November,Freitag,Novembre,Vendredi,11 月,金曜日,Listopad,Pátek,November,Fredag,Νοέμβριος,Παρασκευή,Noviembre,Viernes,Marraskuu,perjantai,November,Péntek,November,Jumat,Novembre,Venerdì,11월,금요일,November,Jumaat,november,vrijdag,November,Fredag,Listopad,piątek,Novembro,Sexta-feira,Ноябрь,Пятница,十一月,星期五,November,Fredag,十一月,星期五,พฤศจิกายน,ศุกร์
20121117,2012-11-17 00:00:00.0,201211,11,35,20124,4,2012,2015,7,17,30,322,3,7,46,November,Saturday,November,Samstag,Novembre,Samedi,11 月,土曜日,Listopad,Sobota,November,Lørdag,Νοέμβριος,Σάββατο,Noviembre,Sábado,Marraskuu,lauantai,November,Szombat,November,Sabtu,Novembre,Sabato,11월,토요일,November,Sabtu,november,zaterdag,November,Lørdag,Listopad,sobota,Novembro,Sábado,Ноябрь,Суббота,十一月,星期六,November,Lördag,十一月,星期六,พฤศจิกายน,เสาร์
20121118,2012-11-18 00:00:00.0,201211,11,35,20124,4,2012,2015,1,18,30,323,4,8,47,November,Sunday,November,Sonntag,Novembre,Dimanche,11 月,日曜日,Listopad,Neděle,November,Søndag,Νοέμβριος,Κυριακή,Noviembre,Domingo,Marraskuu,sunnuntai,November,Vasárnap,November,Minggu,Novembre,Domenica,11월,일요일,November,Ahad,november,zondag,November,Søndag,Listopad,niedziela,Novembro,Domingo,Ноябрь,Воскресенье,十一月,星期日,November,Söndag,十一月,星期日,พฤศจิกายน,อาทิตย์
20121119,2012-11-19 00:00:00.0,201211,11,35,20124,4,2012,2015,2,19,30,324,4,8,47,November,Monday,November,Montag,Novembre,Lundi,11 月,月曜日,Listopad,Pondělí,November,Mandag,Νοέμβριος,Δευτέρα,Noviembre,Lunes,Marraskuu,maanantai,November,Hétfő,November,Senin,Novembre,Lunedì,11월,월요일,November,Isnin,november,maandag,November,Mandag,Listopad,poniedziałek,Novembro,Segunda-feira,Ноябрь,Понедельник,十一月,星期一,November,Måndag,十一月,星期一,พฤศจิกายน,จันทร์
20121120,2012-11-20 00:00:00.0,201211,11,35,20124,4,2012,2015,3,20,30,325,4,8,47,November,Tuesday,November,Dienstag,Novembre,Mardi,11 月,火曜日,Listopad,Úterý,November,Tirsdag,Νοέμβριος,Τρίτη,Noviembre,Martes,Marraskuu,tiistai,November,Kedd,November,Selasa,Novembre,Martedì,11월,화요일,November,Selasa,november,dinsdag,November,Tirsdag,Listopad,wtorek,Novembro,Terça-feira,Ноябрь,Вторник,十一月,星期二,November,Tisdag,十一月,星期二,พฤศจิกายน,อังคาร
20121121,2012-11-21 00:00:00.0,201211,11,35,20124,4,2012,2015,4,21,30,326,4,8,47,November,Wednesday,November,Mittwoch,Novembre,Mercredi,11 月,水曜日,Listopad,Středa,November,Onsdag,Νοέμβριος,Τετάρτη,Noviembre,Miércoles,Marraskuu,keskiviikko,November,Szerda,November,Rabu,Novembre,Mercoledì,11월,수요일,November,Rabu,november,woensdag,November,Onsdag,Listopad,środa,Novembro,Quarta-feira,Ноябрь,Среда,十一月,星期三,November,Onsdag,十一月,星期三,พฤศจิกายน,พุธ
20121122,2012-11-22 00:00:00.0,201211,11,35,20124,4,2012,2015,5,22,30,327,4,8,47,November,Thursday,November,Donnerstag,Novembre,Jeudi,11 月,木曜日,Listopad,Čtvrtek,November,Torsdag,Νοέμβριος,Πέμπτη,Noviembre,Jueves,Marraskuu,torstai,November,Csütörtök,November,Kamis,Novembre,Giovedì,11월,목요일,November,Khamis,november,donderdag,November,Torsdag,Listopad,czwartek,Novembro,Quinta-feira,Ноябрь,Четверг,十一月,星期四,November,Torsdag,十一月,星期四,พฤศจิกายน,พฤหัสบดี
20121123,2012-11-23 00:00:00.0,201211,11,35,20124,4,2012,2015,6,23,30,328,4,8,47,November,Friday,November,Freitag,Novembre,Vendredi,11 月,金曜日,Listopad,Pátek,November,Fredag,Νοέμβριος,Παρασκευή,Noviembre,Viernes,Marraskuu,perjantai,November,Péntek,November,Jumat,Novembre,Venerdì,11월,금요일,November,Jumaat,november,vrijdag,November,Fredag,Listopad,piątek,Novembro,Sexta-feira,Ноябрь,Пятница,十一月,星期五,November,Fredag,十一月,星期五,พฤศจิกายน,ศุกร์
20121124,2012-11-24 00:00:00.0,201211,11,35,20124,4,2012,2015,7,24,30,329,4,8,47,November,Saturday,November,Samstag,Novembre,Samedi,11 月,土曜日,Listopad,Sobota,November,Lørdag,Νοέμβριος,Σάββατο,Noviembre,Sábado,Marraskuu,lauantai,November,Szombat,November,Sabtu,Novembre,Sabato,11월,토요일,November,Sabtu,november,zaterdag,November,Lørdag,Listopad,sobota,Novembro,Sábado,Ноябрь,Суббота,十一月,星期六,November,Lördag,十一月,星期六,พฤศจิกายน,เสาร์
20121125,2012-11-25 00:00:00.0,201211,11,35,20124,4,2012,2015,1,25,30,330,5,9,48,November,Sunday,November,Sonntag,Novembre,Dimanche,11 月,日曜日,Listopad,Neděle,November,Søndag,Νοέμβριος,Κυριακή,Noviembre,Domingo,Marraskuu,sunnuntai,November,Vasárnap,November,Minggu,Novembre,Domenica,11월,일요일,November,Ahad,november,zondag,November,Søndag,Listopad,niedziela,Novembro,Domingo,Ноябрь,Воскресенье,十一月,星期日,November,Söndag,十一月,星期日,พฤศจิกายน,อาทิตย์
20121126,2012-11-26 00:00:00.0,201211,11,35,20124,4,2012,2015,2,26,30,331,5,9,48,November,Monday,November,Montag,Novembre,Lundi,11 月,月曜日,Listopad,Pondělí,November,Mandag,Νοέμβριος,Δευτέρα,Noviembre,Lunes,Marraskuu,maanantai,November,Hétfő,November,Senin,Novembre,Lunedì,11월,월요일,November,Isnin,november,maandag,November,Mandag,Listopad,poniedziałek,Novembro,Segunda-feira,Ноябрь,Понедельник,十一月,星期一,November,Måndag,十一月,星期一,พฤศจิกายน,จันทร์
20121127,2012-11-27 00:00:00.0,201211,11,35,20124,4,2012,2015,3,27,30,332,5,9,48,November,Tuesday,November,Dienstag,Novembre,Mardi,11 月,火曜日,Listopad,Úterý,November,Tirsdag,Νοέμβριος,Τρίτη,Noviembre,Martes,Marraskuu,tiistai,November,Kedd,November,Selasa,Novembre,Martedì,11월,화요일,November,Selasa,november,dinsdag,November,Tirsdag,Listopad,wtorek,Novembro,Terça-feira,Ноябрь,Вторник,十一月,星期二,November,Tisdag,十一月,星期二,พฤศจิกายน,อังคาร
20121128,2012-11-28 00:00:00.0,201211,11,35,20124,4,2012,2015,4,28,30,333,5,9,48,November,Wednesday,November,Mittwoch,Novembre,Mercredi,11 月,水曜日,Listopad,Středa,November,Onsdag,Νοέμβριος,Τετάρτη,Noviembre,Miércoles,Marraskuu,keskiviikko,November,Szerda,November,Rabu,Novembre,Mercoledì,11월,수요일,November,Rabu,november,woensdag,November,Onsdag,Listopad,środa,Novembro,Quarta-feira,Ноябрь,Среда,十一月,星期三,November,Onsdag,十一月,星期三,พฤศจิกายน,พุธ
20121129,2012-11-29 00:00:00.0,201211,11,35,20124,4,2012,2015,5,29,30,334,5,9,48,November,Thursday,November,Donnerstag,Novembre,Jeudi,11 月,木曜日,Listopad,Čtvrtek,November,Torsdag,Νοέμβριος,Πέμπτη,Noviembre,Jueves,Marraskuu,torstai,November,Csütörtök,November,Kamis,Novembre,Giovedì,11월,목요일,November,Khamis,november,donderdag,November,Torsdag,Listopad,czwartek,Novembro,Quinta-feira,Ноябрь,Четверг,十一月,星期四,November,Torsdag,十一月,星期四,พฤศจิกายน,พฤหัสบดี
20121130,2012-11-30 00:00:00.0,201211,11,35,20124,4,2012,2015,6,30,30,335,5,9,48,November,Friday,November,Freitag,Novembre,Vendredi,11 月,金曜日,Listopad,Pátek,November,Fredag,Νοέμβριος,Παρασκευή,Noviembre,Viernes,Marraskuu,perjantai,November,Péntek,November,Jumat,Novembre,Venerdì,11월,금요일,November,Jumaat,november,vrijdag,November,Fredag,Listopad,piątek,Novembro,Sexta-feira,Ноябрь,Пятница,十一月,星期五,November,Fredag,十一月,星期五,พฤศจิกายน,ศุกร์
20121201,2012-12-01 00:00:00.0,201212,12,36,20124,4,2012,2015,7,1,31,336,1,9,48,December,Saturday,Dezember,Samstag,Décembre,Samedi,12 月,土曜日,Prosinec,Sobota,December,Lørdag,Δεκέμβριος,Σάββατο,Diciembre,Sábado,Joulukuu,lauantai,December,Szombat,Desember,Sabtu,Dicembre,Sabato,12월,토요일,Disember,Sabtu,december,zaterdag,Desember,Lørdag,Grudzień,sobota,Dezembro,Sábado,Декабрь,Суббота,十二月,星期六,December,Lördag,十二月,星期六,ธันวาคม,เสาร์
20121202,2012-12-02 00:00:00.0,201212,12,36,20124,4,2012,2015,1,2,31,337,2,10,49,December,Sunday,Dezember,Sonntag,Décembre,Dimanche,12 月,日曜日,Prosinec,Neděle,December,Søndag,Δεκέμβριος,Κυριακή,Diciembre,Domingo,Joulukuu,sunnuntai,December,Vasárnap,Desember,Minggu,Dicembre,Domenica,12월,일요일,Disember,Ahad,december,zondag,Desember,Søndag,Grudzień,niedziela,Dezembro,Domingo,Декабрь,Воскресенье,十二月,星期日,December,Söndag,十二月,星期日,ธันวาคม,อาทิตย์
